x,y,time,colour,velocity
698.5,-1,9,"(255,0,0)",54
872.5,-1,9,"(0,0,255)",1858
1046.5,-1,9,"(0,0,255)",1788
698.5,-1,10,"(255,0,0)",96
872.5,-1,10,"(0,0,255)",2123
1046.5,-1,10,"(0,0,255)",1898
1220.5,-1,10,"(255,0,0)",197
1394.5,-1,10,"(255,0,0)",86
698.5,-1,11,"(255,0,0)",62
872.5,-1,11,"(0,0,255)",2221
1046.5,-1,11,"(0,0,255)",2007
1220.5,-1,11,"(255,0,0)",101
1568.5,-1,11,"(0,0,255)",220
524.5,-1,12,"(255,0,0)",122
872.5,-1,12,"(0,0,255)",2246
1046.5,-1,12,"(0,0,255)",2116
1220.5,-1,12,"(255,0,0)",51
524.5,-1,13,"(255,0,0)",151
698.5,-1,13,"(255,0,0)",142
872.5,-1,13,"(0,0,255)",2348
1046.5,-1,13,"(0,0,255)",2229
1394.5,-1,13,"(255,0,0)",108
698.5,-1,14,"(255,0,0)",162
872.5,-1,14,"(0,0,255)",2439
1046.5,-1,14,"(0,0,255)",2400
1220.5,-1,14,"(0,0,255)",544
1742.5,-1,14,"(255,0,0)",142
698.5,-1,15,"(0,0,255)",219
872.5,-1,15,"(0,0,255)",2508
1046.5,-1,15,"(0,0,255)",2637
1220.5,-1,15,"(0,0,255)",1359
1394.5,-1,15,"(255,0,0)",57
350.5,-1,16,"(255,0,0)",65
698.5,-1,16,"(0,0,255)",217
872.5,-1,16,"(0,0,255)",2547
1046.5,-1,16,"(0,0,255)",2905
1220.5,-1,16,"(0,0,255)",1912
1568.5,-1,16,"(255,0,0)",32
1742.5,-1,16,"(255,0,0)",116
524.5,-1,17,"(255,0,0)",43
698.5,-1,17,"(0,0,255)",465
872.5,-1,17,"(0,0,255)",2649
1046.5,-1,17,"(0,0,255)",3056
1220.5,-1,17,"(0,0,255)",2041
698.5,-1,18,"(0,0,255)",776
872.5,-1,18,"(0,0,255)",2766
1046.5,-1,18,"(0,0,255)",3171
1220.5,-1,18,"(0,0,255)",2150
1742.5,-1,18,"(255,0,0)",121
524.5,-1,19,"(255,0,0)",83
698.5,-1,19,"(0,0,255)",1098
872.5,-1,19,"(0,0,255)",2936
1046.5,-1,19,"(0,0,255)",3327
1220.5,-1,19,"(0,0,255)",2284
1742.5,-1,19,"(255,0,0)",31
350.5,-1,20,"(255,0,0)",81
698.5,-1,20,"(0,0,255)",1456
872.5,-1,20,"(0,0,255)",3094
1046.5,-1,20,"(0,0,255)",3430
1220.5,-1,20,"(0,0,255)",2436
524.5,-1,21,"(255,0,0)",46
698.5,-1,21,"(0,0,255)",1870
872.5,-1,21,"(0,0,255)",3228
1046.5,-1,21,"(0,0,255)",3547
1220.5,-1,21,"(0,0,255)",2621
1742.5,-1,21,"(255,0,0)",155
698.5,-1,22,"(0,0,255)",2007
872.5,-1,22,"(0,0,255)",3364
1046.5,-1,22,"(0,0,255)",3659
1220.5,-1,22,"(0,0,255)",2753
1568.5,-1,22,"(255,0,0)",44
1742.5,-1,22,"(255,0,0)",132
698.5,-1,23,"(0,0,255)",2142
872.5,-1,23,"(0,0,255)",3454
1046.5,-1,23,"(0,0,255)",3828
1220.5,-1,23,"(0,0,255)",2933
698.5,-1,24,"(0,0,255)",2194
872.5,-1,24,"(0,0,255)",3520
1046.5,-1,24,"(0,0,255)",3922
1220.5,-1,24,"(0,0,255)",3180
1394.5,-1,24,"(0,0,255)",726
524.5,-1,25,"(255,0,0)",83
698.5,-1,25,"(0,0,255)",2149
872.5,-1,25,"(0,0,255)",3635
1046.5,-1,25,"(0,0,255)",3950
1220.5,-1,25,"(0,0,255)",3436
1394.5,-1,25,"(0,0,255)",1688
698.5,-1,26,"(0,0,255)",1987
872.5,-1,26,"(0,0,255)",3687
1046.5,-1,26,"(0,0,255)",4004
1220.5,-1,26,"(0,0,255)",3691
1394.5,-1,26,"(0,0,255)",2040
698.5,-1,27,"(0,0,255)",1830
872.5,-1,27,"(0,0,255)",3672
1046.5,-1,27,"(0,0,255)",4046
1220.5,-1,27,"(0,0,255)",3815
1394.5,-1,27,"(0,0,255)",2546
1742.5,-1,27,"(255,0,0)",63
350.5,-1,28,"(255,0,0)",59
524.5,-1,28,"(255,0,0)",38
698.5,-1,28,"(0,0,255)",1645
872.5,-1,28,"(0,0,255)",3619
1046.5,-1,28,"(0,0,255)",4038
1220.5,-1,28,"(0,0,255)",3952
1394.5,-1,28,"(0,0,255)",2821
1742.5,-1,28,"(255,0,0)",72
350.5,-1,29,"(255,0,0)",34
698.5,-1,29,"(0,0,255)",1558
872.5,-1,29,"(0,0,255)",3616
1046.5,-1,29,"(0,0,255)",4044
1220.5,-1,29,"(0,0,255)",3993
1394.5,-1,29,"(0,0,255)",2987
1742.5,-1,29,"(255,0,0)",67
